Campaign,Date,City/Location,Latitude,Longitude,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, INR",Conversions,"Total conversion value, INR",Likes (Reactions),Shares,Comments
Spring ,1/16/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1060,1.8%,19,123,2340,4,18089,61,2,5
Spring ,1/17/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,829,1.6%,13,124,1609,3,8784,73,22,8
Spring ,1/18/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,971.2,1.8%,17,38,650,2,4912,70,9,2
Spring ,1/19/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1084.6,1.4%,15,72,1073,2,4871,27,23,3
Spring ,1/20/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1448.2,1.8%,26,65,1711,2,4045,82,4,8
Spring ,1/21/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1066.8,1.8%,19,133,2488,4,4566,74,16,9
Spring ,1/22/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1753,1.6%,27,87,2365,2,660,67,11,2
Spring ,1/23/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1474.2,1.5%,23,102,2313,3,2890,70,3,3
Spring ,1/24/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,980.8,1.0%,10,95,959,0,0,28,0,6
Spring ,1/25/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1495.6,1.2%,19,124,2293,4,3641,66,5,9
Spring ,1/26/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1519.4,1.3%,20,43,853,3,3756,70,5,5
Spring ,1/27/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1335.4,1.4%,19,85,1601,0,0,57,1,0
Spring ,5/4/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1128.8,1.4%,15,111,1688,1,3055,12,17,9
Spring ,5/5/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,770.2,1.6%,12,37,442,1,2807,50,20,11
Spring ,5/6/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1307.6,1.5%,20,84,1649,3,7051,16,22,8
Spring ,5/7/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,867.6,1.7%,14,141,2037,2,7975,24,17,9
Spring ,5/8/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1138.2,1.4%,16,34,547,2,15777,58,7,3
Spring ,5/9/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,837.8,1.4%,12,150,1788,5,1569,42,9,8
Spring ,5/10/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,773.6,1.4%,11,70,782,3,1238,9,21,8
Spring ,5/11/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1337.2,1.4%,19,114,2114,3,3633,61,1,5
Spring ,5/12/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1588.2,1.5%,23,52,1224,3,4376,48,3,6
Spring ,5/13/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,870.6,2.0%,17,33,560,2,3963,66,3,11
Spring ,5/14/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,926.4,1.8%,17,58,968,4,248,54,4,2
Spring ,5/15/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1438.6,1.2%,17,113,1930,5,1156,53,12,0
Spring ,5/16/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1242.2,2.0%,24,125,3049,3,330,79,7,2
Spring ,5/17/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1567.6,1.7%,26,39,1010,5,2312,53,8,5
Spring ,12/2/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1502.6,1.5%,22,126,2755,4,743,28,23,0
Spring ,12/3/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1299,1.4%,18,95,1665,4,4541,76,2,3
Spring ,12/4/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1495.4,1.8%,28,57,1578,2,3988,76,1,2
Spring ,12/5/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1034.8,1.3%,14,35,480,2,1073,54,16,2
Spring ,12/6/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1395.8,1.1%,16,68,1086,0,0,54,4,8
Spring ,12/7/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,842.6,1.5%,12,103,1274,2,7340,45,9,12
Spring ,12/8/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1593,1.8%,28,127,3549,3,13119,25,15,6
Spring ,12/9/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1734.6,1.7%,29,49,1450,5,5490,45,5,0
Spring ,12/10/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1465.8,1.2%,18,77,1357,0,0,62,2,6
Spring ,12/11/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1732.4,1.8%,31,81,2515,2,10518,61,1,2
Spring ,12/12/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1104.8,1.3%,14,116,1611,2,15430,30,2,8
Spring ,12/13/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,786,1.7%,13,84,1123,3,2477,57,2,9
Spring ,12/14/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1082,1.4%,15,30,449,0,0,23,16,6
Spring ,12/15/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,907.4,1.9%,17,77,1323,4,5953,50,18,9
Summer ,12/16/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,505,1.5%,7,45,328,3,4293,30,13,0
Summer ,12/17/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,588,1.3%,8,66,514,3,11905,72,1,6
Summer ,12/18/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,494.3,1.7%,9,70,597,5,4623,60,5,18
Summer ,12/19/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,440.7,1.3%,6,84,467,1,9305,19,5,8
Summer ,12/20/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,723.2,1.2%,9,124,1091,4,826,29,1,0
Summer ,12/21/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,950.5,1.1%,10,79,805,6,4797,30,5,2
Summer ,12/22/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,848.9,1.7%,14,63,897,6,13581,48,26,0
Summer ,12/23/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,663.8,1.7%,11,128,1406,4,24966,46,3,8
Summer ,12/24/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,727.3,1.2%,9,93,798,4,19129,57,10,2
Summer ,12/25/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,588.1,1.4%,8,122,1023,7,8958,30,25,14
Summer ,12/26/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,369.3,1.4%,5,81,413,5,4161,59,4,12
Summer ,12/27/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,440.4,1.5%,7,56,380,2,12425,37,27,12
Summer ,12/28/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,779.8,1.3%,10,130,1283,3,1156,34,21,2
Summer ,12/29/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,504.5,1.5%,8,98,741,1,6299,42,9,9
Summer ,6/15/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,476,1.3%,6,18,107,4,3550,23,22,3
Summer ,6/16/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,232.3,1.2%,3,60,163,3,413,64,3,17
Summer ,6/17/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,555,1.4%,8,64,514,5,15604,73,22,2
Summer ,6/18/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,461.9,1.7%,8,99,777,5,9073,58,22,14
Summer ,6/19/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,439.9,1.2%,5,132,712,3,248,62,6,8
Summer ,6/20/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1030.9,1.7%,17,80,1371,4,7340,34,19,8
Summer ,6/21/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,406.4,1.5%,6,60,373,6,4458,32,7,8
Summer ,6/22/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,562.2,1.4%,8,66,518,3,908,53,13,18
Summer ,6/23/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,242.7,1.2%,3,51,154,1,330,67,10,12
Summer ,6/24/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,986,1.5%,14,50,731,4,14448,52,21,8
Summer ,6/25/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,345.4,1.1%,4,68,252,4,10460,75,16,5
Summer ,6/26/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,538.9,1.3%,7,57,402,4,4128,58,8,11
Summer ,6/27/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,301.8,1.2%,4,79,296,4,22654,28,1,12
Summer ,6/28/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,926.5,1.7%,15,56,867,3,9998,35,18,5
Summer ,6/29/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,368.6,1.3%,5,96,456,5,1404,28,17,6
Summer ,6/30/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,518.3,1.1%,6,60,344,6,5953,58,13,6
Summer ,7/1/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,929.7,1.5%,14,96,1356,7,1404,26,7,2
Summer ,7/2/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,497.3,1.4%,7,15,100,3,6530,73,17,20
Summer ,7/3/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,661.5,1.7%,12,62,717,1,9016,74,7,14
Summer ,7/4/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,449.1,1.3%,6,96,577,6,2229,55,2,12
Summer ,7/5/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,574.8,1.2%,7,91,622,4,5259,43,4,3
Summer ,7/6/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,399.7,1.5%,6,88,517,5,5664,71,21,9
Summer ,7/7/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,418.8,1.6%,7,37,239,2,4293,44,19,9
Summer ,7/8/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1133.2,1.5%,17,73,1236,5,1816,34,14,18
Summer ,7/9/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,915.1,1.4%,13,93,1208,6,1816,19,13,12
Summer ,7/10/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,475.4,1.5%,7,132,944,4,908,61,14,14
Summer ,7/11/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,423.6,1.3%,5,50,276,6,13639,78,28,15
Summer ,7/12/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,418.5,1.1%,5,106,483,2,4161,74,14,18
Summer ,7/13/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,975.1,1.3%,13,70,883,5,2642,77,14,6
Summer ,7/14/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,485,1.8%,8,121,1024,3,4912,48,2,3
Summer ,7/15/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,797.8,1.3%,10,141,1478,3,9073,52,27,2
Summer ,7/16/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,776.1,1.2%,9,94,839,5,4912,39,3,8
Summer ,7/17/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,277.2,1.8%,5,58,285,0,0,25,14,9
Summer ,7/18/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,632.6,1.4%,9,36,324,1,9362,77,26,18
Summer ,7/19/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,603.6,1.2%,7,45,333,2,4797,28,27,15
Summer ,7/20/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,930.8,1.2%,12,21,240,1,4855,65,5,11
Summer ,7/21/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,523,1.5%,8,62,492,0,0,73,32,3
Summer ,7/22/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,805,1.4%,11,23,260,1,1486,56,27,0
Summer ,7/23/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,759.5,1.1%,9,134,1146,1,8206,68,24,6
Summer ,7/24/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,808.3,1.7%,14,37,503,0,0,53,9,5
Summer ,7/25/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,634.9,1.6%,10,32,326,2,4623,60,4,8
Summer ,7/26/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,433.2,1.4%,6,96,565,2,5086,55,14,3
Summer ,7/27/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,264.3,1.4%,4,6,21,3,7918,56,19,9
Summer ,7/28/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,358.2,1.6%,6,104,591,2,15662,32,3,6
Summer ,7/29/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,596.5,1.6%,10,123,1178,1,1899,65,17,5
Summer ,7/30/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,860.5,1.8%,15,101,1519,1,16008,54,23,2
Summer ,7/31/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,712,1.3%,9,55,497,1,14737,52,24,14
Summer ,8/1/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,336.9,1.2%,4,95,387,1,4681,44,7,3
Summer ,8/2/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,805.9,1.5%,12,115,1378,5,9016,49,14,9
Summer ,8/3/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,550.2,1.8%,10,69,667,2,12599,69,13,14
Summer ,8/4/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1099.6,1.1%,12,87,1053,3,5432,28,3,6
Summer ,8/5/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1105.2,1.4%,15,7,107,0,0,47,23,11
Summer ,8/6/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,651.2,1.6%,10,64,670,2,4681,30,24,0
Summer ,8/7/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,236,1.2%,3,112,314,3,18436,72,22,8
Summer ,8/8/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,828.5,1.1%,9,117,1083,3,5837,66,25,15
Summer ,8/9/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,691.9,1.7%,11,106,1215,2,991,54,9,11
Summer ,8/10/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,846.8,1.5%,12,91,1133,2,23926,54,15,5
Summer ,8/11/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1045.8,1.7%,17,37,631,3,8900,30,11,6
Summer ,8/12/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,931.9,1.4%,13,94,1217,2,25891,54,12,6
Summer ,8/13/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,564.8,1.2%,7,113,745,2,4211,68,0,12
Summer ,8/14/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,634,1.7%,10,125,1304,3,35138,36,2,5
Summer ,8/15/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,615,1.5%,9,75,712,2,20863,55,6,9
Summer ,8/16/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,373.5,1.7%,6,67,432,1,25255,65,22,11
Summer ,8/17/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,858.8,1.6%,14,99,1393,4,4739,67,28,9
Summer ,8/18/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,750.6,1.6%,12,57,706,2,7224,65,17,8
Summer ,8/19/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,477.8,1.3%,6,119,731,1,6357,59,7,8
Summer ,8/20/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,916.8,1.3%,12,132,1556,1,2147,42,26,8
Summer ,8/21/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,944.6,1.1%,10,24,235,3,23637,66,6,2
Summer ,8/22/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,663.7,1.6%,10,41,423,2,20054,20,23,5
Summer ,8/23/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,452.7,1.6%,7,123,872,5,2890,78,18,5
Summer ,8/24/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,947.6,1.4%,13,91,1224,2,2972,49,27,11
Summer ,8/25/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,530.2,1.8%,9,27,253,3,15546,39,30,12
Summer ,8/26/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,832.7,1.4%,12,28,330,1,11790,69,16,5
Summer ,8/27/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,918.5,1.5%,13,21,279,2,578,47,19,11
Summer ,8/28/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,323.2,1.8%,6,36,201,5,330,29,29,3
Summer ,8/29/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,563.2,1.1%,6,39,228,0,0,41,22,15
Summer ,8/30/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,424.5,1.5%,6,19,120,2,4739,32,8,0
Summer ,8/31/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,606.4,1.1%,7,64,433,2,8900,64,26,8
Winter,9/1/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1841,1.7%,32,74,2349,1,5779,71,6,6
Winter,9/2/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,2138,1.3%,27,88,2352,0,0,73,19,9
Winter,9/3/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1448,1.8%,26,33,860,1,7918,74,21,3
Winter,9/4/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1442,1.9%,27,142,3820,2,4970,55,35,12
Winter,9/5/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1497,1.1%,17,86,1430,3,14737,68,6,0
Winter,9/6/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1581,1.4%,22,113,2460,0,0,86,18,8
Winter,9/7/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1741,1.1%,20,107,2120,2,3641,52,32,11
Winter,9/8/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1396,1.9%,26,83,2169,2,14968,33,34,6
Winter,9/9/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,2363,1.9%,46,20,902,2,26238,44,23,8
Winter,9/10/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1312,1.2%,16,114,1835,2,13119,54,19,0
Winter,9/11/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1455,1.7%,24,78,1887,2,6646,78,24,3
Winter,9/12/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1928,1.5%,29,113,3304,2,578,92,18,6
Winter,9/13/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1270,1.3%,16,142,2261,2,6920,65,23,3
Winter,9/14/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,2128,1.1%,24,93,2196,3,578,76,24,6
Winter,9/15/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1681,1.5%,25,62,1529,1,4161,52,30,12
Winter,9/16/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1971,1.5%,30,65,1981,4,1651,50,30,2
Winter,9/17/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1594,1.8%,28,137,3835,2,991,74,21,11
Winter,9/18/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,2023,1.2%,25,109,2707,0,0,38,31,9
Winter,9/19/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1874,1.4%,26,32,836,2,27047,68,31,11
Winter,1/4/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,2268,1.6%,35,89,3149,1,24099,84,16,15
Winter,1/5/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1755,1.7%,30,35,1051,1,10056,50,5,9
